Luokka: XX
- Juho Laitinen (Kielen taso: 2, Tuen tarve: 5, Erikoisehto:0)
- Siiri Laine1 (Kielen taso: 0, Tuen tarve: 5, Erikoisehto:0)
- Olli Järvinen11 (Kielen taso: 0, Tuen tarve: 5, Erikoisehto:0)
- Liisa Virtanen1q (Kielen taso: 0, Tuen tarve: 5, Erikoisehto:0)
- Matias Turunenq (Kielen taso: 4, Tuen tarve: 5, Erikoisehto:0)
- Niilo Salminen1q (Kielen taso: 3, Tuen tarve: 5, Erikoisehto:1)
- Liisa Virtanen11q (Kielen taso: 0, Tuen tarve: 5, Erikoisehto:0)
- Niilo Salminen11q (Kielen taso: 3, Tuen tarve: 5, Erikoisehto:0)
- Aapo Hämäläinen11q (Kielen taso: 0, Tuen tarve: 5, Erikoisehto:0)

Luokka: B
- Mikko Mallikas (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:1)
- Olli Järvinen (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Siiri Laine (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Olli Järvinenq (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Siiri Laineq (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Mikko Mallikas1q (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Olli Järvinen1q (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Siiri Laine1q (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Olli Järvinen11q (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Siiri Laine11q (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:0)
- Aapo Hämäläinen (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aada Mäkelä1 (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aapo Hämäläinen1 (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aada Mäkelä11 (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aapo Hämäläinen11 (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aada Mäkeläq (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aapo Hämäläinenq (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aada Mäkelä1q (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:4)
- Aapo Hämäläinen1q (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)
- Aada Mäkelä11q (Kielen taso: 0, Tuen tarve: 1, Erikoisehto:0)

Luokka: C
- Mikko Mallikasq (Kielen taso: 0, Tuen tarve: 0, Erikoisehto:1)
- Liisa Virtanen (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Leo Heikkinen (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:0)
- Onni Koskinen (Kielen taso: 0, Tuen tarve: 2, Erikoisehto:5)
